Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,modularity_class,componentnumber
uraniumone,uraniumone,,14,101,5,0.46099,0.47262,17.449334,0.615385,56,193,0
gitmo,gitmo,,9,80,5,0.460888,0.47238,0,1,36,193,0
nocoincidence,nocoincidence,,4,28,5,0.460399,0.471852,0,1,6,193,0
trends,trends,,5,10,5,0.461378,0.472652,3.143683,0.8,8,217,0
globallemon,globallemon,,3,3,5,0.46097,0.472268,0,1,3,217,0
openletter,openletter,,1,1,6,0.316829,0.320669,0,0,0,217,0
crochet,crochet,,6,20,5,0.459809,0.471388,0,0.9,9,330,0
beer,beer,,8,25,5,0.462444,0.473541,91.153399,0.571429,16,330,0
needlework,needlework,,4,10,5,0.459809,0.471388,0,1,6,330,0
racistai,racistai,,3,3,5,0.459728,0.471292,0,1,3,194,0
raciststaff,raciststaff,,3,3,5,0.459728,0.471292,0,1,3,194,0
settings,settings,,2,2,5,0.459708,0.471244,0,1,1,217,0
facebooksads,facebooksads,,2,3,5,0.459708,0.471244,0,1,1,217,0
onsale,onsale,,9,18,5,0.460195,0.471828,22305.106019,0.527778,19,143,0
mac,mac,,5,5,5,0.461133,0.472428,0,1,10,217,0
chrome,chrome,,10,37,5,0.462464,0.473629,1602.315219,0.6,27,217,0
